Year,Name,Number,Rank
1930,MICHAEL,10,69
1930,MIKE,10,69
1930,SAMUEL,10,69
1930,VERNON,10,69
1930,ARNOLD,9,78
1930,COLIN,9,78
1930,MASAO,9,78
1930,MINORU,9,78
1930,MITSUO,9,78
1930,ROGER,9,78
1930,WALLACE,9,78
1930,YOSHIO,9,78
1930,EARL,8,86
1930,EUGENE,8,86
1930,FREDRICK,8,86
1930,LOUIS,8,86
1930,MALCOLM,8,86
1930,SIDNEY,8,86
1930,WARREN,8,86
1930,AKIRA,7,93
1930,ANGUS,7,93
1930,BERT,7,93
1930,DENIS,7,93
1930,HARVEY,7,93
1930,ISAMU,7,93
1930,LAURENCE,7,93
1930,ROBIN,7,93
1930,STUART,7,93
1930,TAMOTSU,7,93
1930,TERENCE,7,93
1930,TREVOR,7,93
1930,BENJAMIN,6,105
1930,BILL,6,105
1930,CHRISTOPHER,6,105
1930,CYRIL,6,105
1930,EVAN,6,105
1930,FRANKLIN,6,105
1930,IVAN,6,105
1930,KAZUO,6,105
1930,KIYOSHI,6,105
1930,MASAMI,6,105
1930,MASARU,6,105
1930,NOBORU,6,105
1930,PETE,6,105
1930,RODNEY,6,105
1930,TAKESHI,6,105
1930,TOSHIO,6,105
1930,WESLEY,6,105
1930,ALEX,5,122
1930,ARCHIBALD,5,122
1930,BRUNO,5,122
1930,ELMER,5,122
1930,HIDEO,5,122
1930,HISAO,5,122
1930,KEITH,5,122
1930,MATTHEW,5,122
1930,RAY,5,122
1930,ROLAND,5,122
1930,RUSSELL,5,122
1930,SHIGERU,5,122
1930,STEWART,5,122
1930,THEODORE,5,122
1931,JOHN,350,1
1931,WILLIAM,318,2
1931,ROBERT,247,3
1931,JAMES,187,4
1931,GEORGE,170,5
1931,DONALD,167,6
1931,RONALD,119,7
1931,DAVID,107,8
1931,GORDON,90,9
1931,CHARLES,88,10
1931,EDWARD,87,11
1931,THOMAS,86,12
1931,KENNETH,85,13
1931,RICHARD,79,14
1931,JOSEPH,76,15
1931,ARTHUR,71,16
1931,DOUGLAS,67,17
1931,RAYMOND,63,18
1931,HAROLD,60,19
1931,NORMAN,60,19
1931,ROY,55,21
1931,FREDERICK,48,22
1931,WALTER,46,23
1931,HENRY,41,24
1931,STANLEY,40,25
1931,FRANK,39,26
1931,JACK,39,26
1931,VICTOR,38,28
1931,ALLAN,37,29
1931,GERALD,37,29
1931,PETER,37,29
1931,LAWRENCE,36,32
1931,HARRY,35,33
1931,ALBERT,32,34
1931,ALEXANDER,32,34
1931,ALAN,30,36
1931,ERNEST,30,36
1931,MICHAEL,28,38
1931,ALFRED,24,39
1931,DENNIS,24,39
1931,HERBERT,24,39
1931,LEONARD,23,42
1931,FRANCIS,21,43
1931,ANDREW,20,44
1931,CLIFFORD,20,44
1931,PHILIP,20,44
1931,EDWIN,17,47
1931,LESLIE,16,48
1931,LLOYD,16,48
1931,RALPH,16,48
1931,BRUCE,15,51
1931,DANIEL,15,51
1931,FRED,15,51
1931,FREDRICK,15,51
1931,IAN,15,51
1931,KIYOSHI,15,51
1931,PAUL,15,51
1931,SAMUEL,15,51
1931,ARNOLD,14,59
1931,EARL,14,59
1931,PATRICK,14,59
1931,CARL,13,62
1931,GARY,13,62
1931,GLEN,13,62
1931,HUGH,13,62
1931,WILFRED,13,62
1931,LORNE,12,67
1931,LOUIS,12,67
1931,MAURICE,12,67
1931,REGINALD,12,67
1931,WALLACE,12,67
1931,BRIAN,11,72
1931,CECIL,11,72
1931,EUGENE,11,72
1931,MURRAY,11,72
1931,NEIL,11,72
1931,YOSHIO,11,72
1931,ALLEN,10,78
1931,GILBERT,10,78
1931,HARVEY,10,78
1931,HOWARD,10,78
1931,IVAN,10,78
1931,MELVIN,10,78
1931,ROSS,10,78
1931,ERIC,9,85
1931,HIDEO,9,85
1931,SHIGERU,9,85
1931,SYDNEY,9,85
1931,TOSHIO,9,85
1931,BARRY,8,90
1931,JOE,8,90
1931,LEO,8,90
1931,MINORU,8,90
1931,PERCY,8,90
1931,SIDNEY,8,90
1931,ALVIN,7,96
1931,BERNARD,7,96
1931,COLIN,7,96
1931,ISAMU,7,96
1931,KEITH,7,96
1931,LAURENCE,7,96
1931,MALCOLM,7,96
1931,MARTIN,7,96
1931,MARVIN,7,96
1931,MIKE,7,96
1931,RUSSELL,7,96
1931,YUTAKA,7,96
1931,ANGUS,6,108
1931,ARCHIBALD,6,108
1931,EARLE,6,108
1931,ELMER,6,108
1931,HORACE,6,108
1931,ROBIN,6,108
1931,ROGER,6,108
1931,STEPHEN,6,108
1931,THEODORE,6,108
1931,VERNON,6,108
1931,YUKIO,6,108
1931,AKIRA,5,119
1931,ANTHONY,5,119
1931,BILL,5,119
1931,CLIVE,5,119
1931,CYRIL,5,119
1931,DESMOND,5,119
1931,DUNCAN,5,119
1931,HERMAN,5,119
1931,LYLE,5,119
1931,MORRIS,5,119
1931,OSAMU,5,119
1931,RAY,5,119
